Country Name,Country Code,Year,Value
Albania,ALB,2011,21.74
Algeria,DZA,2012,22.08
Argentina,ARG,2005,16.74
Argentina,ARG,2010,23.75
Argentina,ARG,2013,23.68
Armenia,ARM,2004,24.03
Armenia,ARM,2008,21.67
Australia,AUS,2006,20.83
Austria,AUT,2009,16.94
Azerbaijan,AZE,2008,25.42
Belarus,BLR,2015,19.17
Belgium,BEL,2000,16.04
Belgium,BEL,2005,15
Belgium,BEL,2013,15.9
Bhutan,BTN,2007,13.26
Bolivia,BOL,2001,20.83
Brazil,BRA,2009,17.64
Brazil,BRA,2012,13.33
Bulgaria,BGR,2002,20.9
Bulgaria,BGR,2010,18.47
Cambodia,KHM,2004,12.5
Canada,CAN,2005,15.83
Canada,CAN,2010,16.18
Chile,CHL,2008,16.25
Chile,CHL,2015,22.15
China,CHN,2008,16.25
Colombia,COL,2012,18.13
Costa Rica,CRI,2004,22.36
Costa Rica,CRI,2011,18.82
Cuba,CUB,2001,16.32
Denmark,DNK,2001,14.58
Denmark,DNK,2009,15.63
Ecuador,ECU,2012,17.92
El Salvador,SLV,2010,26.43
Estonia,EST,2000,19.93
Estonia,EST,2010,17.22
Ethiopia,ETH,2013,22.08
Finland,FIN,2000,16.39
Finland,FIN,2010,15.56
France,FRA,2010,16.39
Germany,DEU,2002,17.64
Germany,DEU,2013,15.9
Ghana,GHA,2009,15.49
Greece,GRC,2014,19.17
Guatemala,GTM,2006,25.76
Guatemala,GTM,2011,27.43
Honduras,HND,2009,13.54
"Hong Kong SAR, China",HKG,2002,13.75
"Hong Kong SAR, China",HKG,2013,10.83
Hungary,HUN,2000,19.51
Hungary,HUN,2010,19.79
"Iran, Islamic Rep.",IRN,2009,21.04
Iraq,IRQ,2007,24.1
Ireland,IRL,2005,20.56
Italy,ITA,2003,20.63
Italy,ITA,2009,19.86
Japan,JPN,2001,14.86
Japan,JPN,2006,14.93
Japan,JPN,2011,14.93
Kazakhstan,KAZ,2000,27.71
Kazakhstan,KAZ,2003,28.47
Kazakhstan,KAZ,2006,26.11
Kazakhstan,KAZ,2012,17.08
"Korea, Rep.",KOR,2004,14.38
"Korea, Rep.",KOR,2009,14.24
"Korea, Rep.",KOR,2014,14.44
Kyrgyz Republic,KGZ,2000,27.71
Kyrgyz Republic,KGZ,2005,23.75
Kyrgyz Republic,KGZ,2010,18.75
Kyrgyz Republic,KGZ,2015,16.81
Lao PDR,LAO,2003,10.42
Lao PDR,LAO,2008,10
Lao PDR,LAO,2013,10.42
Latvia,LVA,2003,15.63
Lesotho,LSO,2003,15.56
Lithuania,LTU,2003,18.68
Luxembourg,LUX,2014,14.44
"Macedonia, FYR",MKD,2004,23.75
"Macedonia, FYR",MKD,2009,19.51
Madagascar,MDG,2001,15.63
Malawi,MWI,2005,8.68
Malaysia,MYS,2003,19.1
Mali,MLI,2008,20.42
Malta,MLT,2002,18.75
Mauritius,MUS,2003,18.96
Mexico,MEX,2002,28.4
Mexico,MEX,2009,27.64
Mexico,MEX,2014,27.99
Moldova,MDA,2012,19.03
Mongolia,MNG,2000,20.07
Mongolia,MNG,2007,19.79
Mongolia,MNG,2011,19.86
Morocco,MAR,2012,20.83
Netherlands,NLD,2001,15
Netherlands,NLD,2003,15.14
Netherlands,NLD,2006,16.94
Netherlands,NLD,2012,14.72
New Zealand,NZL,2010,18.06
Norway,NOR,2001,15.14
Norway,NOR,2011,13.75
Oman,OMN,2000,20.56
Oman,OMN,2008,19.03
Pakistan,PAK,2007,19.86
Panama,PAN,2011,13.82
Peru,PER,2010,22.57
Poland,POL,2004,19.79
Poland,POL,2013,18.33
Qatar,QAT,2013,13.82
Romania,ROU,2000,20
Romania,ROU,2012,20.42
Serbia,SRB,2011,20.21
Slovenia,SVN,2001,20.56
South Africa,ZAF,2000,15
South Africa,ZAF,2010,15.9
Spain,ESP,2003,20.49
Spain,ESP,2010,18.96
Sweden,SWE,2001,17.22
Sweden,SWE,2011,15.97
Switzerland,CHE,2000,19.51
Switzerland,CHE,2004,19.44
Switzerland,CHE,2007,19.38
Switzerland,CHE,2010,17.64
Switzerland,CHE,2013,17.64
Tanzania,TZA,2006,14.72
Tanzania,TZA,2014,16.53
Thailand,THA,2009,12.78
Tunisia,TUN,2006,21.94
Turkey,TUR,2006,25.76
Turkey,TUR,2015,19.17
United Kingdom,GBR,2001,16.88
United Kingdom,GBR,2005,14.72
United States,USA,2003,16.53
United States,USA,2004,16.67
United States,USA,2005,16.53
United States,USA,2006,16.25
United States,USA,2007,16.04
United States,USA,2008,15.63
United States,USA,2009,15.9
United States,USA,2010,15.35
United States,USA,2011,15.21
United States,USA,2012,15.28
United States,USA,2013,15.63
United States,USA,2014,15.56
United States,USA,2015,15.9
Uruguay,URY,2007,25.21
Uruguay,URY,2013,20.14
West Bank and Gaza,PSE,2000,20.21
West Bank and Gaza,PSE,2013,19.17
